Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
222322124,The Artist and the Feast,Lucy   Steeds,"Steeds, Lucy",,"=""1454960523""","=""9781454960522""",0,Union Square & Co,Hardcover,352,2025,2025,,2025/09/18,to-read,to-read (#2481),to-read,,,,0,0
95186,The Inheritance of Loss,Kiran Desai,"Desai, Kiran",,"=""0802142818""","=""9780802142818""",0,Grove Press,Paperback,357,2005,2005,,2025/09/17,to-read,to-read (#2480),to-read,,,,0,0
32793394,The Dying Detective,Leif G.W. Persson,"Persson, Leif G.W.",Neil Smith,"=""0307907643""","=""9780307907646""",0,Vintage Crime/Black Lizard,Kindle Edition,422,2017,2010,,2025/09/17,to-read,to-read (#2479),to-read,,,,0,0
61190770,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,"Adjei-Brenyah, Nana Kwame",,"=""0593317335""","=""9780593317334""",3.0,Pantheon,Hardcover,367,2023,2023,2025/09/16,2024/11/03,,,read,,,,1,0
215363519,rekt,Alex  Gonzalez,"Gonzalez, Alex",,"=""1645661598""","=""9781645661597""",0,Erewhon Books,Hardcover,355,2025,2025,,2025/09/16,to-read,to-read (#2478),to-read,,,,0,0
12287209,"Wool (Wool, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,Broad Reach,Kindle Edition,56,2011,2011,,2023/06/26,to-read,to-read (#824),to-read,,,,0,0
58327658,Lionel Lancet and The Right Vibe,Daniel Backer,"Backer, Daniel",,"=""0578961555""","=""9780578961552""",0,Daniel Backer,Paperback,216,2021,,,2025/09/16,to-read,to-read (#2477),to-read,,,,0,0
224082491,The Third Love,Hiromi Kawakami,"Kawakami, Hiromi",Ted Goossen,"=""1593768052""","=""9781593768058""",0,Soft Skull,Hardcover,288,2025,2020,,2025/09/16,to-read,to-read (#2476),to-read,,,,0,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",3.0,Grand Central Publishing,Kindle Edition,496,2017,2017,2025/09/15,2022/06/26,,,read,,,,1,0
32871394,The Pisces,Melissa Broder,"Broder, Melissa",,"=""1524761559""","=""9781524761554""",0,Hogarth Press,Hardcover,270,2018,2018,,2025/09/14,to-read,to-read (#2475),to-read,,,,0,0
30079724,Homesick for Another World,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0399562885""","=""9780399562884""",4.0,Penguin Press,Hardcover,294,2017,2017,2025/09/14,2024/06/11,,,read,"3.75<br/><br/>Enjoyment of this short story collection is highly dependent on whether you vibe with Moshfegh’s dark humor — most of these tales don’t make a whole lot of logical sense, but the majority are memorably hilarious and grotesque! ",,,1,0
217245618,The Names,Florence Knapp,"Knapp, Florence",,"=""0593833902""","=""9780593833902""",0,Pamela Dorman Books,Hardcover,328,2025,2025,,2025/09/14,dnf,dnf (#1),read,,,,0,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",3.0,Simon & Schuster ,Paperback,453,2004,1961,2025/09/14,2021/09/07,,,read,,,,1,0
725243,The Oxford Book of Death,D.J. Enright,"Enright, D.J.",,"=""0192820133""","=""9780192820136""",0,Oxford University Press,Paperback,368,1987,1983,,2025/09/14,to-read,to-read (#2474),to-read,,,,0,0
214331246,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",3.0,Scholastic Press,Hardcover,387,2025,2025,2025/09/14,2025/05/23,,,read,Meh…2.5⭐️,,,1,0
28820,The Varieties of Religious Experience,William  James,"James, William",,"=""1402199031""","=""9781402199035""",0,Adamant Media Corporation,Paperback,519,2000,1902,,2025/09/11,to-read,to-read (#2473),to-read,,,,0,0
14495,The Mind Parasites: The Supernatural Metaphysical Cult Thriller,Colin Wilson,"Wilson, Colin",,"=""0974935999""","=""9780974935997""",0,Monkfish Book Publishing,Paperback,240,2005,1967,,2025/09/11,to-read,to-read (#2472),to-read,,,,0,0
25944711,The Coming,Daniel     Black,"Black, Daniel",,"=""1466890673""","=""9781466890671""",0,St. Martin's Press,Kindle Edition,240,2015,2015,,2025/09/11,to-read,to-read (#2471),to-read,,,,0,0
12331767,High-Rise,J.G. Ballard,"Ballard, J.G.",,"=""0871404028""","=""9780871404022""",0,Liveright,Paperback,208,2012,1975,,2025/09/11,to-read,to-read (#2470),to-read,,,,0,0
1466014,A Testament,Frank Lloyd Wright,"Wright, Frank Lloyd",,"=""081800004X""","=""9780818000041""",0,Horizon Pr,Hardcover,256,1957,1957,,2025/09/11,to-read,to-read (#2469),to-read,,,,0,0
565428,The Cowards,Josef Škvorecký,"Škvorecký, Josef",,"=""091294675X""","=""9780912946757""",0,Ecco Pr,Paperback,416,1980,1958,,2025/09/11,to-read,to-read (#2468),to-read,,,,0,0
222904827,The Healing Hippo of Hinode Park,Michiko Aoyama,"Aoyama, Michiko",Takami Nieda,"=""1335016333""","=""9781335016331""",0,Hanover Square Press,Hardcover,256,2025,2023,,2025/09/10,to-read,to-read (#2467),to-read,,,,0,0
220228230,Ripeness,Sarah Moss,"Moss, Sarah",,"=""""","=""""",0,Picador,Hardcover,304,2025,2025,,2025/09/10,to-read,to-read (#2466),to-read,,,,0,0
